petition_id,should,their,people,government,there,would,being,which,children,public,british,these,other,years,health,allow,referendum,after,change,those
c2608318-6f1c-4fb7-a2bc-37ba59231c9b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88b42eb9-a8d0-44be-8473-5b4a11ad9365,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
9db9e171-937a-4910-91db-fc548c108545,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
b80e5ebe-20bd-4b3e-a8c3-ba62ee1f6d2a,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2ea59a19-4441-4d35-aee0-8cec567b21eb,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50423a6f-f681-4573-8d8e-0377aa0c12e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cd2d3e3-3f15-4fcc-8596-22e8376b74a7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a6d1f1bf-8336-49ec-adb3-d8cce258ee5a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e403f58-a737-4840-bbf2-5efba23afa8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdbe5180-5e24-44a0-924b-fc2bf1bfdd53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb2060db-d548-4123-bd4a-1fcb8a4d9ff5,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
38712ae0-ab43-48e5-b2df-c669e8bb147c,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8adee361-282b-4426-b5b1-20e72ab55bc1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c63082ba-4143-4294-92ac-d1e0d2cd4ea5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3eed276-ea70-49ce-9edf-80305b3a90d5,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
f914b8d2-9760-4cf3-9a3e-a6c3fdd54582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f4a5048-151b-4663-b1f9-4ce9d367ffae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5968620a-b4ff-4913-b103-1eddc13f0737,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6a2d6cdc-88b6-4fa5-b472-b634cddc5e92,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
53b6e03c-6247-4640-9ffa-9956039c0caa,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
f11a8a74-8982-4b1a-80b7-8dd8640480bc,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1255f40d-82b9-4d22-bb76-2a683c25e1a3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
